Key,Message,Component,Line
"AZklih4EJqaP-eV66Bae","Remove this unused import of 'Dimensions'.","rocket-meals_rocket-meals:apps/frontend/app/components/Details/index.tsx",1
"AZkfCEQNZWk3l8lfAOUE","Unnecessary escape character: \"".","rocket-meals_rocket-meals:apps/sonarCloudReportDownloader/src/fixStaticReadonly.ts",32
"AZkfCEQNZWk3l8lfAOUF","Unnecessary escape character: \"".","rocket-meals_rocket-meals:apps/sonarCloudReportDownloader/src/fixStaticReadonly.ts",32
"AZkfCEQNZWk3l8lfAOUG","Unnecessary escape character: \"".","rocket-meals_rocket-meals:apps/sonarCloudReportDownloader/src/fixStaticReadonly.ts",32
"AZkVA8BnGZIUGyy7Qqym","This file is part of one cycle involving 2 files.","rocket-meals_rocket-meals:apps/backend/Backend/directusExtensions/directus-extension-rocket-meals-bundle/src/forms-sync-hook/index.ts",1
"AZkVA79sGZIUGyy7Qqyk","This file is part of one cycle involving 2 files.","rocket-meals_rocket-meals:apps/backend/Backend/directusExtensions/directus-extension-rocket-meals-bundle/src/helpers/ApiContext.ts",1
"AZkVA79iGZIUGyy7Qqyj","This file is part of 2 cycles involving 5 files.","rocket-meals_rocket-meals:apps/backend/Backend/directusExtensions/directus-extension-rocket-meals-bundle/src/helpers/ItemsServiceHelper.ts",1
"AZkVA76eGZIUGyy7Qqyi","This file is part of one cycle involving 3 files.","rocket-meals_rocket-meals:apps/backend/Backend/directusExtensions/directus-extension-rocket-meals-bundle/src/helpers/MyDatabaseHelper.ts",1
"AZkVA794GZIUGyy7Qqyl","This file is part of one cycle involving 2 files.","rocket-meals_rocket-meals:apps/backend/Backend/directusExtensions/directus-extension-rocket-meals-bundle/src/helpers/pdf/PdfGeneratorHelper.ts",1
"AZkVA7whGZIUGyy7Qqyg","This file is part of 2 cycles involving 3 files.","rocket-meals_rocket-meals:apps/frontend/app/app/(app)/account-balance/MyCardReader.ts",1
"AZkVA71_GZIUGyy7Qqyh","This file is part of one cycle involving 2 files.","rocket-meals_rocket-meals:apps/frontend/app/helper/nfcCardReaderHelper/CardReader.ts",1
"AZkU8RhraFO0qV2RlEy2","Move this component definition out of the parent component and pass data as props.","rocket-meals_rocket-meals:apps/frontend/app/app/(app)/campus/details/index.tsx",164
"AZkU8RhraFO0qV2RlEy3","Move this component definition out of the parent component and pass data as props.","rocket-meals_rocket-meals:apps/frontend/app/app/(app)/campus/details/index.tsx",199
"AZkU8RhraFO0qV2RlEy4","Move this component definition out of the parent component and pass data as props.","rocket-meals_rocket-meals:apps/frontend/app/app/(app)/campus/details/index.tsx",214
"AZkU8RiIaFO0qV2RlEy5","Move this component definition out of the parent component and pass data as props.","rocket-meals_rocket-meals:apps/frontend/app/app/(app)/campus/index.tsx",293
"AZkU8RiIaFO0qV2RlEy6","Move this component definition out of the parent component and pass data as props.","rocket-meals_rocket-meals:apps/frontend/app/app/(app)/campus/index.tsx",311
"AZkU8RfCaFO0qV2RlEym","Move this component definition out of the parent component and pass data as props.","rocket-meals_rocket-meals:apps/frontend/app/app/(app)/foodoffers-scroll/index.tsx",422
"AZkU8RfCaFO0qV2RlEyn","Move this component definition out of the parent component and pass data as props.","rocket-meals_rocket-meals:apps/frontend/app/app/(app)/foodoffers-scroll/index.tsx",456
"AZkU8RfCaFO0qV2RlEyo","Move this component definition out of the parent component and pass data as props.","rocket-meals_rocket-meals:apps/frontend/app/app/(app)/foodoffers-scroll/index.tsx",478
